question,answer
what is are pyogenic granuloma,pyogenic granuloma are small reddish bumps on the skin that bleed easily due to an abnormally high number of blood vessels they typically occur on the hands arms or face while the exact cause of pyogenic granulomas is unknown they often appear following injury pyogenic granuloma is often observed in infancy and childhood but may also be observed in adults particularly in pregnant women small pyogenic granulomas may go away on their own larger lesions are treated with surgery electrocautery freezing or lasers
what is are pyomyositis,pyomyositis is rare bacterial infection of the skeletal muscle the muscles used for movement signs and symptoms may include pain and tenderness of the affected muscle fever and abscess formation if left untreated the abscess may extend into the bone and joint or blood poisoning may occur approximately 90 of cases are caused by the bacterium staphylococcus aureus risk factors for the condition include strenuous activity muscle trauma skin infections infected insect bites illicit drug injections connective tissue disorders and diabetes treatment generally includes surgical drainage of the abscess and antibiotics
what is are rabies,rabies is a deadly animal disease caused by a virus it can happen in wild animals including raccoons skunks bats and foxes or in dogs cats or farm animals people get it from the bite of an infected animal in people symptoms of rabies include fever headache and fatigue then confusion hallucinations and paralysis once the symptoms begin the disease is usually fatal a series of shots can prevent rabies in people exposed to the virus you need to get them right away if an animal bites you wash the wound well then get medical care to help prevent rabies vaccinate your pet rabies vaccines are available for dogs cats and farm animals dont let pets roam dont approach stray animals animals with rabies might be aggressive and vicious or tired and weak centers for disease control and prevention
what is are rare diseases,a rare disease is one that affects fewer than 200000 people in the united states there are nearly 7000 rare diseases more than 25 million americans have one rare diseases may involve chronic illness disability and often premature death often have no treatment or not very effective treatment are frequently not diagnosed correctly are often very complex are often caused by changes in genes it can be hard to find a specialist who knows how to treat your rare disease disease advocacy groups rare disease organizations and genetics clinics may help you to find one nih national institutes of health
what is are rasmussens encephalitis,rasmussens encephalitis is a rare chronic inflammatory neurological disease that usually affects only one hemisphere of the brain it usually occurs in children under the age of 10 more rarely in adolescents and adults and is characterized by frequent and severe seizures loss of motor skills and speech paralysis on one side of the body hemiparesis inflammation of the brain encephalitis and mental deterioration most individuals with rasmussens encephalitis will experience frequent seizures and progressive brain damage in the affected hemisphere of the brain over the course of the first 8 to 12 months and then enter a phase of permanent but stable neurological deficits rasmussens encephalitis has features of an autoimmune disease in which immune system cells enter the brain and cause inflammation and damageresearch is ongoing into the causes of this rare disease
what is are recombinant 8 syndrome,recombinant 8 syndrome is a condition that involves heart and urinary tract abnormalities moderate to severe intellectual disability and a distinctive facial appearance the characteristic facial features include a wide square face a thin upper lip a downturned mouth a small chin micrognathia wideset eyes hypertelorism and lowset or unusually shaped ears people with recombinant 8 syndrome may have overgrowth of the gums gingival hyperplasia and abnormal tooth development males with this condition frequently have undescended testes cryptorchidism some affected individuals have recurrent ear infections otitis media or hearing loss many children with recombinant 8 syndrome do not survive past early childhood usually due to complications related to their heart abnormalities
what is are rectal disorders,the rectum is the lower part of your large intestine where your body stores stool problems with rectum are common they include hemorrhoids abscesses incontinence and cancer many people are embarrassed to talk about rectal troubles but seeing your doctor about problems in this area is important this is especially true if you have pain or bleeding treatments vary widely depending on the particular problem nih national institute of diabetes and digestive and kidney diseases
what is are refractive errors,the cornea and lens of your eye helps you focus refractive errors are vision problems that happen when the shape of the eye keeps you from focusing well the cause could be the length of the eyeball longer or shorter changes in the shape of the cornea or aging of the lens four common refractive errors are myopia or nearsightedness clear vision close up but blurry in the distance hyperopia or farsightedness clear vision in the distance but blurry close up presbyopia inability to focus close up as a result of aging astigmatism focus problems caused by the cornea the most common symptom is blurred vision other symptoms may include double vision haziness glare or halos around bright lights squinting headaches or eye strain glasses or contact lenses can usually correct refractive errors laser eye surgery may also be a possibility nih national eye institute
what is are relapsing polychondritis,relapsing polychondritis rp is a rare condition characterized by recurrent inflammation of cartilage and other tissues throughout the body cartilage is a tough but flexible tissue that covers the ends of bones at a joint and gives shape and support to other parts of the body ear involvement is the most common feature but a variety of other areas of the body may be affected including the costal rib cartilage eyes nose airways heart vascular veins system skin joints kidney and nervous system the signs and symptoms vary from person to person depending on which parts of the body are affected the exact underlying cause of rp is unknown however scientists suspect that it is an autoimmune condition the primary goals of treatment for people with rp are to relieve present symptoms and to preserve the structure of the affected cartilage
what is are renal nutcracker syndrome,renal nutcracker syndrome ncs is a condition that occurs when the left renal vein the vein that carries blood purified by the left kidney becomes compressed the signs and symptoms of the condition can vary from person to person some affected people may be asymptomatic while others develop severe and persistent symptoms when present features of ncs may include blood in the urine hematuria orthostatic proteinuria flank pain andor abdominal pain some cases of mild ncs in children may be due to changes in body proportions associated with growth why ncs occurs or becomes symptomatic in adults is less clear treatment ranges from surveillance to surgical intervention and is based on the severity of symptoms and their expected reversibility when considering the affected persons age and stage of the syndrome
what is are reproductive hazards,both the male and female reproductive systems play a role in pregnancy problems with these systems can affect fertility and the ability to have children something that affects reproductive health is called a reproductive hazard examples include radiation metals such as lead and mercury chemicals such as pesticides cigarettes some viruses alcohol for men a reproductive hazard can affect the sperm for a woman a reproductive hazard can cause different effects during pregnancy depending on when she is exposed during the first 3 months of pregnancy it might cause a birth defect or a miscarriage during the last 6 months of pregnancy it could slow the growth of the fetus affect the development of its brain or cause premature labor
what is are reticulohistiocytoma,reticulohistiocytoma rh is a rare benign lesion of the soft tissue it belongs to a group of disorders called nonlangerhans cell histiocytosis and is a type of reticulohistiocytosis all of which are types of histiocytosis histiocytosis is a condition in which there is rapid production proliferation of histiocytes immune cells in the skin or soft tissues the stimulus that causes the immune system to react in rh is currently not well understood rh present as a yellow to reddishbrown smooth surfaced firm nodule or lesion on the trunk andor extremities of the body historically rh has been found in young adults with a slightly higher incidence in males rh typically resolve spontaneously over a period of months to years are not associated with systemic disease and do not otherwise affect health treatment involves surgical removal of the lesion
what is are retinal disorders,the retina is a layer of tissue in the back of your eye that senses light and sends images to your brain in the center of this nerve tissue is the macula it provides the sharp central vision needed for reading driving and seeing fine detail retinal disorders affect this vital tissue they can affect your vision and some can be serious enough to cause blindness examples are macular degeneration a disease that destroys your sharp central vision diabetic eye disease retinal detachment a medical emergency when the retina is pulled away from the back of the eye retinoblastoma cancer of the retina it is most common in young children macular pucker scar tissue on the macula macular hole a small break in the macula that usually happens to people over 60 floaters cobwebs or specks in your field of vision nih national eye institute
what is are retinal vasculopathy with cerebral leukodystrophy,retinal vasculopathy with cerebral leukodystrophy rvcl is a rare genetic condition that primarily affects the central nervous system symptoms begin in adulthood usually in the 40s and may include loss of vision ministrokes and dementia death can sometimes occur within 10 years of the first symptoms appearing rvcl is inherited in an autosomal dominant manner and is caused by mutations in the trex1 gene treatments currently aim to manage or alleviate the symptoms rather than treating the underlying cause rvcl is now considered to include the following 3 conditions which were previously thought to be distinct hereditary endotheliopathy retinopathy nephropathy and stroke herns cerebroretinal vasculopathy crv and hereditary vascular retinopathy hvr
what is are retinochoroidal coloboma,retinochoroidal coloboma is an eye abnormality that occurs before birth it is characterized by missing pieces of tissue in both the retina the lightsensitive tissue lining the back of the eye and choroid the blood vessel layer under the retina in many cases retinochoroidal coloboma does not cause symptoms however complications such as retinal detachment may occur at any age other possible complications include loss of visual clarity or distorted vision cataract and abnormal blood vessel growth in the choroid choroidal neovascularization retinochoroidal coloboma can involve one or both eyes and may occur alone or in association with other birth defects it can be inherited or can occur sporadically
what is are reynolds syndrome,reynolds syndrome is a condition characterized by scleroderma with primary biliary cirrhosis scleroderma is mainly limited to crest syndrome which includes calcinosis cutis calcium deposits in the skin raynauds phenomenon esophageal dysfunction acid reflux and decrease in motility in the esophagus sclerodactyly and telangiectasis diffuse scleroderma or scleroderma that affects blood vessels internal organs and the skin has also been reported although generally considered an autoimmune disorder other causes have been suggested including genetics reynolds syndrome may be caused by mutations in the lbr gene and inherited in an autosomal dominant fashion
what is are rheumatic fever,rheumatic fever is an inflammatory condition that may develop after infection with group a streptococcus bacteria such as strep throat or scarlet fever it is primarily diagnosed in children between the ages of 6 and 16 and can affect the heart joints nervous system andor skin early signs and symptoms include sore throat swollen red tonsils fever headache andor muscle and joint aches some affected people develop rheumatic heart disease which can lead to serious inflammation and scarring of the heart valves it is not clear why some people who are infected with group a streptococcus bacteria go on to develop rheumatic fever while others do not however it appears that some families may have a genetic susceptibility to develop the condition treatment usually includes antibiotics andor antiinflammatory medications
what is are ribbing disease,ribbing disease is a rare bone disease that causes bony growths on the long bones such as the thigh bone and shine bone ribbing disease affects women more frequently than men the most common symptom is pain a single study of 14 patients found an association between ribbing disease and impaired exercise tolerance and changes in heart function ie increased prevalence of arrhythmia and changes in left ventricular systolic and diastolic function the cause of the condition is currently unknown although some cases appear to be genetic and inherited in an autosomal recessive fashion optimal treatment for the disease is largely unknown there have been case reports describing treatment of ribbing disease with bisphosphonate pamidronate results have been mixed the condition often resolves on its own however cases of progressive disease have been described
what is are richter syndrome,richter syndrome is a rare condition in which chronic lymphocytic leukemia cll changes into a fastgrowing type of lymphoma symptoms of richter syndrome can include fever loss of weight and muscle mass abdominal pain and enlargement of the lymph nodes liver and spleen laboratory results may show anemia and low platelet counts which can lead to easy bleeding and bruising
what is are ring chromosome 20,ring chromosome 20 is a chromosome abnormality that affects the development and function of the brain people with ring chromosome 20 often have recurrent seizures or epilepsy other symptoms might include intellectual disability behavioral difficulties growth delay short stature a small head microcephaly and characteristic facial features ring chromosome 20 is caused by an abnormal chromosome known as a ring chromosome 20 or r20 a ring chromosome is a circular structure that occurs when a chromosome breaks in two places and its broken ends fuse together ring chromosome 20 is usually not inherited it almost always occurs by chance during the formation of reproductive cells eggs or sperm or in early embryonic development treatment for ring chromosome 20 is focused on management of seizures and accommodations for learning
what is are romanoward syndrome,romanoward syndrome is a condition that causes a disruption of the hearts normal rhythm arrhythmia this disorder is a form of long qt syndrome which is a heart condition that causes the heart cardiac muscle to take longer than usual to recharge between beats the irregular heartbeats can lead to fainting syncope or cardiac arrest and sudden death
what is are rosacea,rosacea is a longterm disease that affects your skin and sometimes your eyes it causes redness and pimples rosacea is most common in women and people with fair skin it most often affects middleaged and older adults in most cases rosacea only affects the face symptoms can include frequent redness of the face or flushing small red lines under the skin acne a swollen nose thick skin usually on the forehead chin and cheeks red dry itchy eyes and sometimes vision problems no one knows what causes rosacea you may be more likely to have it if you blush a lot or if rosacea runs in your family rosacea is not dangerous there is no cure but treatments can help they include medicines and sometimes surgery nih national institute of arthritis and musculoskeletal and skin diseases
what is are rotavirus infections,rotavirus is a virus that causes gastroenteritis symptoms include severe diarrhea vomiting fever and dehydration almost all children in the us are likely to be infected with rotavirus before their 5th birthday infections happen most often in the winter and spring it is very easy for children with the virus to spread it to other children and sometimes to adults once a child gets the virus it takes about two days to become sick vomiting and diarrhea may last from three to eight days there is no medicine to treat it to prevent dehydration have your child drink plenty of liquids your health care provider may recommend oral rehydration drinks some children need to go to the hospital for iv fluids two vaccines against rotavirus infections are available centers for disease control and prevention
what is are rubella,rubella is an infection caused by a virus it is usually mild with fever and a rash about half of the people who get rubella do not have symptoms if you do get them symptoms may include a rash that starts on the face and spreads to the body mild fever aching joints especially in young women swollen glands rubella is most dangerous for a pregnant womans baby it can cause miscarriage or birth defects rubella spreads when an infected person coughs or sneezes people without symptoms can still spread it there is no treatment but the measlesmumpsrubella mmr vaccine can prevent it centers for disease control and prevention
what is are rubinsteintaybi syndrome,rubinsteintaybi syndrome is a condition characterized by short stature moderate to severe intellectual disability distinctive facial features and broad thumbs and first toes additional features of the disorder can include eye abnormalities heart and kidney defects dental problems and obesity these signs and symptoms vary among affected individuals people with this condition have an increased risk of developing noncancerous and cancerous tumors including certain kinds of brain tumors cancer of bloodforming tissue leukemia also occurs more frequently in people with rubinsteintaybi syndrome rarely rubinsteintaybi syndrome can involve serious complications such as a failure to gain weight and grow at the expected rate failure to thrive and lifethreatening infections infants born with this severe form of the disorder usually survive only into early childhood
what is are sacrococcygeal teratoma,a sacrococcygeal teratoma is a tumor that grows at the base of the spine in a developing fetus it occurs in one in 40000 newborns and girls are four times more likely to be affected than boys though it is usually benign there is a possibility that the teratoma could become malignant as such the recommended treatment of a teratoma is complete removal of the tumor by surgery performed soon after the birth if not all of the tumor is removed during the initial surgery the teratoma may grow back recur and additional surgeries may be needed studies have found that sacrococcygeal teratomas recur in up to 22 of cases
what is are saddan,saddan severe achondroplasia with developmental delay and acanthosis nigricans is a rare disorder of bone growth characterized by skeletal brain and skin abnormalities all people with this condition have extremely short stature with particularly short arms and legs other features include unusual bowing of the leg bones a small chest with short ribs and curved collar bones short broad fingers and folds of extra skin on the arms and legs structural abnormalities of the brain cause seizures profound developmental delay and intellectual disability several affected individuals also have had episodes in which their breathing slows or stops for short periods apnea acanthosis nigricans a progressive skin disorder characterized by thick dark velvety skin is another characteristic feature of saddan that develops in infancy or early childhood
what is are salivary gland disorders,your salivary glands make saliva sometimes called spit and empty it into your mouth through openings called ducts saliva makes your food moist which helps you chew and swallow it helps you digest your food it also cleans your mouth and contains antibodies that can kill germs problems with salivary glands can cause the glands to become irritated and swollen this causes symptoms such as bad taste in the mouth difficulty opening your mouth dry mouth pain in the face or mouth swelling of the face or neck causes of salivary gland problems include infections obstruction or cancer problems can also be due to other disorders such as mumps or sjogrens syndrome
what is are salmonella infections,salmonella is the name of a group of bacteria in the united states it is a common cause of foodborne illness salmonella occurs in raw poultry eggs beef and sometimes on unwashed fruit and vegetables you also can get infected after handling pets especially reptiles like snakes turtles and lizards symptoms include fever diarrhea abdominal cramps headache possible nausea vomiting and loss of appetite symptoms usually last 47 days your health care provider diagnoses the infection with a stool test most people get better without treatment infection can be more serious in the elderly infants and people with chronic health problems if salmonella gets into the bloodstream it can be serious the usual treatment is antibiotics typhoid fever a more serious disease caused by salmonella is not common in the united states it frequently occurs in developing countries nih national institute of allergy and infectious diseases
what is are sapho syndrome,sapho syndrome involves any combination of synovitis inflammation of the joints acne pustulosis thick yellow blisters containing pus often on the palms and soles hyperostosis increase in bone substance and osteitis inflammation of the bones the cause of sapho syndrome is unknown and treatment is focused on managing symptoms
what is are satoyoshi syndrome,satoyoshi syndrome is a rare condition characterized by progressive painful intermittent muscle spasms diarrhea or unusual malabsorption amenorrhea alopecia universalis short stature and skeletal abnormalities progressive painful intermittent muscle spasms usually start between 6 to 15 years of age alopecia universalis also appears around age 10 about half of affected individuals experience malabsorption specifically of carbohydrates the skeletal abnormalities may be secondary to muscle spasms the main endocrine disorder is primary amenorrhea all cases have apparently been sporadic even when occurring in large families the exact cause is unknown but some researchers have speculated that satoyoshi syndrome is an autoimmune disorder
what is are scars,a scar is a permanent patch of skin that grows over a wound it forms when your body heals itself after a cut scrape burn or sore you can also get scars from surgery that cuts through the skin infections like chickenpox or skin conditions like acne scars are often thicker as well as pinker redder or shinier than the rest of your skin how your scar looks depends on how big and deep your wound is where it is how long it takes to heal your age your inherited tendency to scar scars usually fade over time but never go away completely if the way a scar looks bothers you various treatments might minimize it these include surgical revision dermabrasion laser treatments injections chemical peels and creams
what is are schilders disease,schilders disease is a rare progressive demyelinating disorder which usually begins in childhood schilders disease is not the same as addisonschilder disease adrenoleukodystrophy symptoms may include dementia aphasia seizures personality changes poor attention tremors balance instability incontinence muscle weakness headache vomiting and vision and speech impairment the disorder is a variant of multiple sclerosis
what is are schindler disease type 1,schindler disease is an inherited condition that primarily causes neurological problems there are three types of schindler disease schindler disease type 1 also called the infantile type is the most severe form babies with this condition appear healthy a birth but by the age of 8 to 15 months they stop developing new skills and begin losing skills they had already acquired as the condition progresses affected individuals develop blindness and seizures and eventually lose awareness of their surroundings and become unresponsive people with this form of the condition usually dont survive past early childhood schindler disease type 1 is caused by mutations in the naga gene the condition follows an autosomal recessive pattern of inheritance
what is are schistosomiasis,schistosomiasis is a disease caused by parasitic worms although the worms that cause schistosomiasis are not found in the united states more than 200 million people are infected worldwide infection occurs through contact with contaminated water the parasite in its infective stages is called a cercaria it swims freely in open bodies of water on contact with humans the parasite burrows into the skin matures into another stage schistosomula then migrates to the lungs and liver where it matures into the adult form the adult worm then migrates to its preferred body part bladder rectum intestines liver portal venous system the veins that carry blood from the intestines to liver spleen lungs depending on its species schistosomiasis is common in many tropical and subtropical areas worldwide it can be treated safely and effectively with praziquantel
what is are schnitzler syndrome,schnitzler syndrome is a rare autoinflammatory condition signs and symptoms of the condition vary but may include urticaria recurrent fevers joint pain and inflammation organomegaly abnormally enlarged organs andor blood abnormalities the exact underlying cause of the condition is unknown however most cases occur sporadically in people with no family history of the condition treatment is focused on alleviating the signs and symptoms associated with the condition and may include various medications andor phototherapy
what is are schwannomatosis,schwannomatosis is a rare form of neurofibromatosis that is primarily characterized by multiple schwannomas benign tumors of the nervous system in the absence of bilateral affecting both sides vestibular schwannomas signs and symptoms of the condition vary based on the size location and number of schwannomas but may include pain numbness tingling andor weakness in the fingers and toes inherited forms of the disorder account for only 15 percent of all cases in some of these families schwannomatosis is caused by changes mutations in the smarcb1 or lztr1 genes in other cases the exact underlying cause is unknown when inherited the condition is passed down in an autosomal dominant manner with highly variable expressivity and reduced penetrance treatment is based on the signs and symptoms present in each person but may include medications andor surgery
what is are sciatica,sciatica is a symptom of a problem with the sciatic nerve the largest nerve in the body it controls muscles in the back of your knee and lower leg and provides feeling to the back of your thigh part of your lower leg and the sole of your foot when you have sciatica you have pain weakness numbness or tingling it can start in the lower back and extend down your leg to your calf foot or even your toes its usually on only one side of your body causes of sciatica include a ruptured intervertebral disk narrowing of the spinal canal that puts pressure on the nerve called spinal stenosis an injury such as a pelvic fracture in many cases no cause can be found sometimes sciatica goes away on its own treatment if needed depends on the cause of the problem it may include exercises medicines and surgery
what is are sclerosing mesenteritis,sclerosing mesenteritis is one of many terms used to describe a spectrum of chronic inflammatory diseases affecting the small bowel mesentery the membrane that anchors the small intestine to the back of the abdominal wall the cause of this condition is unknown the most common symptom is abdominal pain or a palpable abdominal mass click on the highlighted text to view an illustration of the small intestine
what is are sclerosing mucoepidermoid carcinoma with eosinophilia,sclerosing mucoepidermoid carcinoma with eosinophilia smece is a type of cancer that most commonly affects the thyroid gland but has been reported in the salivary gland as well signs and symptoms include a painless neck mass many people with mucoepidermoid carcinomas are women with hashimotos thyroiditis the prevalence of smece is unknown but only around 50 cases have been described in the medical literature smece most commonly presents between 40 to 75 years of age smece was initially considered a lowgrade tumor however cases of smece spreading locally to lymph nodes and to distant organs have been described while data is limited with treatment it appears that prognosis is typically good
what is are scoliosis,scoliosis causes a sideways curve of your backbone or spine these curves are often s or cshaped scoliosis is most common in late childhood and the early teens when children grow fast girls are more likely to have it than boys it can run in families symptoms include leaning to one side and having uneven shoulders and hips doctors use your medical and family history a physical exam and imaging tests to diagnose scoliosis treatment depends on your age how much more youre likely to grow how much curving there is and whether the curve is temporary or permanent people with mild scoliosis might only need checkups to see if the curve is getting worse others might need to wear a brace or have surgery nih national institute of arthritis and musculoskeletal and skin diseases
what is are scot deficiency,scot deficiency is a metabolic disease that is caused by reduced or missing levels of 3ketoacid coa transferase this enzyme is necessary for the body to use ketones ketones are substances produced when fat cells break down and are an important source of energy especially when there is a shortage of glucose scot deficiency is characterized by intermittent ketoacidosis with the first episode often occurring in newborns or infants 6 to 20 months in ketoacidosis ketones buildup in the body symptoms of ketoacidosis may vary but can include trouble breathing poor feeding vomiting lethargy unconsciousness and coma crises need to be addressed immediately fortunately these crises tend to respond well to iv fluids including glucose and sodium bicarbonate patients with scot defiency are symptom free between episodes this deficiency can be caused by mutations in the oxct1 gene
what is are scurvy,scurvy is a condition that develops in people who do not consume an adequate amount of vitamin c in their diet although scurvy is relatively rare in the united states it continues to be a problem in malnourished populations around the world such as impoverished underdeveloped third world countries early features of the condition include general weakness fatigue and aching limbs if left untreated more serious problems can develop such as anemia gum disease and skin hemorrhages symptoms generally develop after at least 3 months of severe or total vitamin c deficiency treatment consists of vitamin c supplements taken by mouth
what is are seasonal affective disorder,some people experience a serious mood change during the winter months when there is less natural sunlight this condition is called seasonal affective disorder or sad sad is a type of depression it usually lifts during spring and summer not everyone with sad has the same symptoms they include sad anxious or empty feelings feelings of hopelessness andor pessimism feelings of guilt worthlessness or helplessness irritability restlessness loss of interest or pleasure in activities you used to enjoy fatigue and decreased energy difficulty concentrating remembering details and making decisions difficulty sleeping or oversleeping changes in weight thoughts of death or suicide sad may be effectively treated with light therapy but nearly half of people with sad do not respond to light therapy alone antidepressant medicines and talk therapy can reduce sad symptoms either alone or combined with light therapy nih national institute of mental health
what is are secondary adrenal insufficiency,adrenal insufficiency is an endocrine disorder that occurs when the adrenal glands do not produce enough of certain hormones secondary adrenal insufficiency occurs when the pituitary gland a peasized gland at the base of the brain fails to produce enough adrenocorticotropin acth a hormone that stimulates the adrenal glands to produce the hormone cortisol the lack of these hormones in the body can be caused by reduction or cessation of corticosteroid medication the surgical removal of pituitary tumors or changes in the pituitary gland symptoms of secondary adrenal insufficiency may include severe fatigue loss of appetite weight loss nausea vomiting diarrhea muscle weakness irritability and depression treatment includes replacing the hormones that the adrenal glands are not making the dose of each medication is adjusted to meet the needs of each affected individual
what is are selective igm deficiency,selective igm deficiency or selective immunoglobulin m deficiency sigmd is a rare immune disorder that has been reported in association with serious infections such as bacteremia the disorder can occur in babies children and adults it is characterized by isolated absence or deficiency of igm normal levels of other immunoglobulins and recurrent infections especially by staphylococcus aureus streptococcus pneumoniae hemophilus influenza the cause is still unclear the diagnosis includes the isolated deficiency of igm in the blood and no other immunodeficiency or secondary cause of low igm patients with sigmd and recurrent infections are managed like other antibody defects and deficiencies it is suggested to have pneumococcal and meningococcal vaccines prophylactic antibiotics to patients who have recurrent infections and immune globulin replacement
what is are senior loken syndrome,senior loken syndrome is a rare disorder characterized by the combination of two specific features a kidney condition called nephronophthisis and an eye condition known as leber congenital amaurosis it can be caused by mutations in one of at least six genes the proteins produced from these genes are known or suspected to play roles in cell structures called cilia these microscopic fingerlike projections stick out on the surface of cells and are involved in signaling pathways that transmit information between cells cilia are important for the structure and function of many types of cells including certain cells in the kidneys they are also necessary for the perception of sensory input such as vision hearing and smell senior loken syndrome is inherited in an autosomal recessive pattern
what is are sensorineural deafness and male infertility,sensorineural deafness and male infertility is a condition characterized by hearing loss and an inability to father children affected individuals have moderate to severe sensorineural hearing loss which is caused by abnormalities in the inner ear the hearing loss is typically diagnosed in early childhood and does not worsen over time males with this condition produce sperm that have decreased movement motility causing affected males to be infertile
what is are sepiapterin reductase deficiency,sepiapterin reductase deficiency is a condition characterized by movement problems most often a pattern of involuntary sustained muscle contractions known as dystonia other movement problems can include muscle stiffness spasticity tremors problems with coordination and balance ataxia and involuntary jerking movements chorea people with sepiapterin reductase deficiency can experience episodes called oculogyric crises these episodes involve abnormal rotation of the eyeballs extreme irritability and agitation and pain muscle spasms and uncontrolled movements especially of the head and neck movement abnormalities are often worse late in the day most affected individuals have delayed development of motor skills such as sitting and crawling and they typically are not able to walk unassisted the problems with movement tend to worsen over time people with sepiapterin reductase deficiency may have additional signs and symptoms including an unusually small head size microcephaly intellectual disability seizures excessive sleeping and mood swings
what is are serpiginous choroiditis,serpiginous choroiditis is a rare inflammatory eye condition that typically develops between age 30 and 70 years affected individuals have lesions in the eye that last from weeks to months and involve scarring of the eye tissue recurrence of these lesions is common in serpiginous choroiditis vision loss may occur in one or both eyes when the macula is involved treatment options involve antiinflammatory and immunesuppressing medications
what is are severe combined immunodeficiency,severe combined immunodeficiencies scid are inherited immune system disorders characterized by abnormalities with responses of both t cells and b cells specific types of white blood cells needed for immune system function common signs and symptoms include an increased susceptibility to infections including ear infections pneumonia or bronchitis oral thrush and diarrhea due to recurrent infections affected children do not grow and gain weight as expected failure to thrive scid may be caused by mutations in any of several genes and can be inherited in an xlinked recessive most commonly or autosomal recessive manner the most effective treatment is transplantation of bloodforming stem cells from the bone marrow of a healthy person without treatment affected children rarely live past the age of two
what is are severe intellectual disabilityprogressive spastic diplegia syndrome,severe intellectual disabilityprogressive spastic diplegia syndrome is a rare condition that has been described in a few people with severe intellectual disability other signs and symptoms include progressive microcephaly very small head ataxia lack of coordination spasticity andor skin hair and mild facial anomalies it is caused by changes mutations in the ctnnb1 gene and it is inherited in an autosomal dominant fashion treatment is based on the signs and symptoms present in each person
what is are shaken baby syndrome,shaken baby syndrome is a type of inflicted traumatic brain injury that happens when a baby is violently shaken a baby has weak neck muscles and a large heavy head shaking makes the fragile brain bounce back and forth inside the skull and causes bruising swelling and bleeding which can lead to permanent severe brain damage or death the characteristic injuries of shaken baby syndrome are subdural hemorrhages bleeding in the brain retinal hemorrhages bleeding in the retina damage to the spinal cord and neck and fractures of the ribs and bones these injuries may not be immediately noticeable symptoms of shaken baby syndrome include extreme irritability lethargy poor feeding breathing problems convulsions vomiting and pale or bluish skin shaken baby injuries usually occur in children younger than 2 years old but may be seen in children up to the age of 5
what is are shapiro syndrome,shapiro syndrome is a rare disease affecting about 50 people worldwide that is typically characterized by recurrent episodes of excessive sweating and hypothermia and the agenesis of the corpus callosum the duration and frequency of the episodes vary from person to person with some episodes lasting hours to weeks and occurring from hours to years the reason for the variations in the episodes is not yet known the cause of the condition is currently unknown however a resetting of the temperature of the body to a lower level has been suggested although different treatment options have been attempted in some patients the treatments have been unsuccessful or of doubtful efficacy because of the small number of individuals that have been documented as having this condition
what is are short syndrome,short syndrome is a condition characterized by multiple abnormalities that affect several parts of the body the term short is an acronym with each letter representing a common feature in affected individuals s short stature h hyperextensibility of joints andor hernia inguinal o ocular depression deepset eyes r rieger anomaly defective development of the anterior chamber of the eye that can lead to glaucoma and t teething delay other features commonly present include a triangular face small chin with a dimple loss of fat under the skin lipodystrophy abnormal position of the ears hearing loss and delayed speech it is caused by mutations in the pik3r1 gene inheritance is autosomal dominant treatment focuses on the specific symptoms present in each individual
what is are shoulder injuries and disorders,your shoulder joint is composed of three bones the clavicle collarbone the scapula shoulder blade and the humerus upper arm bone your shoulders are the most movable joints in your body they can also be unstable because the ball of the upper arm is larger than the shoulder socket that holds it to remain in a stable or normal position the shoulder must be anchored by muscles tendons and ligaments because the shoulder can be unstable it is the site of many common problems they include sprains strains dislocations separations tendinitis bursitis torn rotator cuffs frozen shoulder fractures and arthritis usually shoulder problems are treated with rice this stands for rest ice compression and elevation other treatments include exercise medicines to reduce pain and swelling and surgery if other treatments dont work nih national institute of arthritis and musculoskeletal and skin diseases
what is are sialadenitis,sialadenitis is an infection of the salivary glands it is usually caused by a virus or bacteria the parotid in front of the ear and submandibular under the chin glands are most commonly affected sialadenitis may be associated with pain tenderness redness and gradual localized swelling of the affected area there are both acute and chronic forms although it is quite common among elderly adults with salivary gland stones sialadenitis can also occur in other age groups including infants during the first few weeks of life without proper treatment sialadenitis can develop into a severe infection especially in people who are debilitated or elderly
what is are sialidosis type i,sialidosis is a severe inherited disorder that affects many organs and tissues including the nervous system this disorder is divided into two types which are distinguished by the age at which symptoms appear and the severity of features sialidosis type i is the less severe form of this condition people with this condition typically develop signs and symptoms of sialidosis in their teens or twenties characteristic features may include sudden involuntary muscle contractions myoclonus distinctive red spots cherryred macules in the eyes and sometimes additional neurological findings sialidosis type i is caused by mutations in the neu1 gene individuals with sialidosis type i have mutations that result in some functional neu1 enzyme the condition is inherited in an autosomal recessive pattern it does not affect intelligence or life expectancy
what is are sideroblastic anemia,sideroblastic anemia is a heterogeneous group of blood disorders characterized by an impaired ability of the bone marrow to produce normal red blood cells the iron inside red blood cells is inadequately used to make hemoglobin despite adequate or increased amounts of iron abnormal red blood cells called sideroblasts are found in the blood of people with these anemias sideroblastic anemias are classified as hereditary acquired and reversible
what is are sideroblastic anemia pyridoxinerefractory autosomal recessive,sideroblastic anemia pyridoxinerefractory autosomal recessive is an inherited blood disorder that is characterized by an impaired ability of the bone marrow to produce normal red blood cells the iron inside red blood cells is inadequately used to make hemoglobin despite adequate or increased amounts of iron abnormal red blood cells called sideroblasts are found in the blood of people with this anemia it is caused by mutations in the slc25a38 gene it is inherited in an autosomal recessive fashion unlike other forms of sideroblastic anemia this form is not responsive to vitamin b6 pyridoxine
